source,title,company,experience,salary,location,skills,posted,job_link,search_query,scraped_at,title_clean,job_category,exp_min_years,is_fresher_friendly,salary_clean,skills_list,skills_clean,skills_list_str
Naukri,Sr. Data Analyst (Analytics / Modelling Role),Xoriant,6-11 Yrs,6-16 Lacs PA,Hybrid - Pune,"Kimball, Analytics, Medallion, Data Build Tool, Data Analytics, Bronze, Gold layer, schema evolution",2 weeks ago,https://www.naukri.com/job-listings-sr-data-analyst-analytics-modelling-role-xoriant-pune-6-to-11-years-140426026169,Data Analyst,2026-04-29 17:11:22,sr. data analyst (analytics / modelling role),Data Analyst,6.0,False,6-16 Lacs PA,"['kimball', 'analytics', 'medallion', 'data build tool', 'data analytics', 'bronze', 'gold layer', 'schema evolution']","kimball, analytics, medallion, data build tool, data analytics, bronze, gold layer, schema evolution","kimball, analytics, medallion, data build tool, data analytics, bronze, gold layer, schema evolution"
Naukri,GSS Data Analyst,Schlumberger India Technology Centre Pvt. Ltd,5-10 Yrs,Not Disclosed,Pune,"Service delivery, PSD, Safety training, Data Analyst, HSE, Sensors, Risk analysis, Monitoring",3+ weeks ago,https://www.naukri.com/job-listings-gss-data-analyst-schlumberger-india-technology-centre-pvt-ltd-pune-5-to-10-years-250226501120,Data Analyst,2026-04-29 17:11:22,gss data analyst,Data Analyst,5.0,False,,"['service delivery', 'psd', 'safety training', 'data analyst', 'hse', 'sensors', 'risk analysis', 'monitoring']","service delivery, psd, safety training, data analyst, hse, sensors, risk analysis, monitoring","service delivery, psd, safety training, data analyst, hse, sensors, risk analysis, monitoring"
Naukri,DE&A - Core - Advanced Data Engineering - Business Analyst,Zensar,10-15 Yrs,Not Disclosed,"Pune, Bengaluru","Computer science, Data analysis, Automation, Data modeling, Analytical, Agile, Data quality, Analytics",2 days ago,https://www.naukri.com/job-listings-de-a-core-advanced-data-engineering-business-analyst-zensar-technologies-pune-bengaluru-10-to-15-years-270426501425,Data Analyst,2026-04-29 17:11:22,de&a - core - advanced data engineering - business analyst,Other,10.0,False,,"['computer science', 'data analysis', 'automation', 'data modeling', 'analytical', 'agile', 'data quality', 'analytics']","computer science, data analysis, automation, data modeling, analytical, agile, data quality, analytics","computer science, data analysis, automation, data modeling, analytical, agile, data quality, analytics"
Naukri,Global Data & Analytics Senior Analyst,Kimberly-Clark Corporation,6-8 Yrs,Not Disclosed,Pune,"Mining, Data analysis, Process improvement, Analytical, microsoft, Business intelligence, PTP, SQL",4 days ago,https://www.naukri.com/job-listings-global-data-analytics-senior-analyst-kimberly-clark-pune-6-to-8-years-240426503663,Data Analyst,2026-04-29 17:11:22,global data & analytics senior analyst,Data Analyst,6.0,False,,"['mining', 'data analysis', 'process improvement', 'analytical', 'microsoft', 'business intelligence', 'ptp', 'sql']","mining, data analysis, process improvement, analytical, microsoft, business intelligence, ptp, sql","mining, data analysis, process improvement, analytical, microsoft, business intelligence, ptp, sql"
Naukri,Data Analyst,Acciojob,0 Yrs,5 Lacs PA,Pune,"Data Analytics, Research Analysis, Investigation, Analysis, Research, Data, Data analysis, Analytics",1 day ago,https://www.naukri.com/job-listings-data-analyst-acciojob-pune-0-to-0-years-280426035573,Data Analyst,2026-04-29 17:11:23,data analyst,Data Analyst,0.0,True,5 Lacs PA,"['data analytics', 'research analysis', 'investigation', 'analysis', 'research', 'data', 'data analysis', 'analytics']","data analytics, research analysis, investigation, analysis, research, data, data analysis, analytics","data analytics, research analysis, investigation, analysis, research, data, data analysis, analytics"
Naukri,Data Analyst,Bajaj Housing Finance,1-3 Yrs,3-4.5 Lacs PA,Pune,"Power Bi, Data Analysis, Data Analytics, SQL, Cte, Data Extraction, Crm Tool, Looker Studio",5 days ago,https://www.naukri.com/job-listings-data-analyst-bajaj-housing-finance-pune-1-to-3-years-240426013089,Data Analyst,2026-04-29 17:11:23,data analyst,Data Analyst,1.0,True,3-4.5 Lacs PA,"['power bi', 'data analysis', 'data analytics', 'sql', 'cte', 'data extraction', 'crm tool', 'looker studio']","power bi, data analysis, data analytics, sql, cte, data extraction, crm tool, looker studio","power bi, data analysis, data analytics, sql, cte, data extraction, crm tool, looker studio"
Naukri,Data Analyst,Allegis Group,8-13 Yrs,Not Disclosed,Hybrid - Pune,"Large Databases, Power Bi, Advanced Excel, Data Analytics, Business Analysis, Requirement Gathering, Data Management, Data Analysis",5 days ago,https://www.naukri.com/job-listings-data-analyst-allegis-group-pune-8-to-13-years-240426013905,Data Analyst,2026-04-29 17:11:23,data analyst,Data Analyst,8.0,False,,"['large databases', 'power bi', 'advanced excel', 'data analytics', 'business analysis', 'requirement gathering', 'data management', 'data analysis']","large databases, power bi, advanced excel, data analytics, business analysis, requirement gathering, data management, data analysis","large databases, power bi, advanced excel, data analytics, business analysis, requirement gathering, data management, data analysis"
Naukri,Data Analyst,MNC,4-9 Yrs,5-10 Lacs PA,"Hybrid - Pune, Bengaluru","Power Bi, MS Access, Advanced Excel, Tableau, Python, VBA, Data Analytics, Macros",1 day ago,https://www.naukri.com/job-listings-data-analyst-spes-manning-pune-bengaluru-4-to-9-years-270426931854,Data Analyst,2026-04-29 17:11:23,data analyst,Data Analyst,4.0,False,5-10 Lacs PA,"['power bi', 'ms access', 'advanced excel', 'tableau', 'python', 'vba', 'data analytics', 'macros']","power bi, ms access, advanced excel, tableau, python, vba, data analytics, macros","power bi, ms access, advanced excel, tableau, python, vba, data analytics, macros"
Naukri,Data Analyst,SRI INDRAKSHI INFOMATICS PVT LTD,4-9 Yrs,14-18 Lacs PA,Pune,"Power Bi, Alteryx, Data Analytics, Bi, Data analysis, Analytics, Data",5 days ago,https://www.naukri.com/job-listings-data-analyst-sri-indrakshi-informatics-pune-4-to-9-years-240426011880,Data Analyst,2026-04-29 17:11:23,data analyst,Data Analyst,4.0,False,14-18 Lacs PA,"['power bi', 'alteryx', 'data analytics', 'bi', 'data analysis', 'analytics', 'data']","power bi, alteryx, data analytics, bi, data analysis, analytics, data","power bi, alteryx, data analytics, bi, data analysis, analytics, data"
Naukri,Data Analyst,MAN TRUCK BUS,3-5 Yrs,Not Disclosed,Pune,"python, data analysis, sap, mathematics, sap business warehouse, bi, power bi, sap analytics cloud",Few hours ago,https://www.naukri.com/job-listings-data-analyst-man-truck-bus-pune-3-to-5-years-290426503588,Data Analyst,2026-04-29 17:11:29,data analyst,Data Analyst,3.0,False,,"['python', 'data analysis', 'sap', 'mathematics', 'sap business warehouse', 'bi', 'power bi', 'sap analytics cloud']","python, data analysis, sap, mathematics, sap business warehouse, bi, power bi, sap analytics cloud","python, data analysis, sap, mathematics, sap business warehouse, bi, power bi, sap analytics cloud"
Naukri,Data Analyst,Epic Tech Research,2-4 Yrs,Not Disclosed,Hybrid - Pune(Bavdhan),"Data Analytics, Machine Learning, Python, Power Bi, Artificial Intelligence, Plotly, Pandas, Numpy",1 day ago,https://www.naukri.com/job-listings-data-analyst-epic-tech-research-pune-2-to-4-years-280426012891,Data Analyst,2026-04-29 17:11:29,data analyst,Data Analyst,2.0,False,,"['data analytics', 'machine learning', 'python', 'power bi', 'artificial intelligence', 'plotly', 'pandas', 'numpy']","data analytics, machine learning, python, power bi, artificial intelligence, plotly, pandas, numpy","data analytics, machine learning, python, power bi, artificial intelligence, plotly, pandas, numpy"
Naukri,Data Analyst,Leading Client,1-4 Yrs,Not Disclosed,"Pune, Mumbai, Bengaluru","Data Analyst, snowflake, python, data analysis, power bi, numpy, machine learning, sql server",1 day ago,https://www.naukri.com/job-listings-data-analyst-talent-corner-hr-services-pvt-ltd-mumbai-pune-bengaluru-1-to-4-years-280426932947,Data Analyst,2026-04-29 17:11:30,data analyst,Data Analyst,1.0,True,,"['data analyst', 'snowflake', 'python', 'data analysis', 'power bi', 'numpy', 'machine learning', 'sql server']","data analyst, snowflake, python, data analysis, power bi, numpy, machine learning, sql server","data analyst, snowflake, python, data analysis, power bi, numpy, machine learning, sql server"
Naukri,Data Analyst,LoanTap,2-5 Yrs,4-5 Lacs PA,Pune(Kalyani Nagar),"Power Bi, Data Analysis, Data Analytics, Bi, Bi Tools, Data Visualization, Tableau, Dashboards",1 week ago,https://www.naukri.com/job-listings-data-analyst-loantap-pune-2-to-5-years-160426021592,Data Analyst,2026-04-29 17:11:30,data analyst,Data Analyst,2.0,False,4-5 Lacs PA,"['power bi', 'data analysis', 'data analytics', 'bi', 'bi tools', 'data visualization', 'tableau', 'dashboards']","power bi, data analysis, data analytics, bi, bi tools, data visualization, tableau, dashboards","power bi, data analysis, data analytics, bi, bi tools, data visualization, tableau, dashboards"
Naukri,Data Analyst,Apex 2000 INC,3-6 Yrs,Not Disclosed,Pune,"python, macros, data analysis, data analytics, natural language processing, data mining, power bi, machine learning",5 days ago,https://www.naukri.com/job-listings-data-analyst-apex-2000-inc-pune-3-to-6-years-240426501156,Data Analyst,2026-04-29 17:11:31,data analyst,Data Analyst,3.0,False,,"['python', 'macros', 'data analysis', 'data analytics', 'natural language processing', 'data mining', 'power bi', 'machine learning']","python, macros, data analysis, data analytics, natural language processing, data mining, power bi, machine learning","python, macros, data analysis, data analytics, natural language processing, data mining, power bi, machine learning"
Naukri,Data Analyst,HMH Technology Private Limited,2-4 Yrs,Not Disclosed,Pune,"data analyst, snowflake, sap, data analysis, steward, power bi, business analysis, business analyst",1 day ago,https://www.naukri.com/job-listings-data-analyst-houghton-mifflin-harcourt-technology-private-limit-ed-pune-2-to-4-years-280426920060,Data Analyst,2026-04-29 17:11:31,data analyst,Data Analyst,2.0,False,,"['data analyst', 'snowflake', 'sap', 'data analysis', 'steward', 'power bi', 'business analysis', 'business analyst']","data analyst, snowflake, sap, data analysis, steward, power bi, business analysis, business analyst","data analyst, snowflake, sap, data analysis, steward, power bi, business analysis, business analyst"
